Art & Design,Ar
Business BTEC,Bb
Business,Bs
IT,Cb
Computer Science,Co
Drama,Dr
Economics,Ec
Engineering,Eg
French,Fr
Geography,Ge
Health & Social Care,Hb
Hospitality & Catering,Hc
History,Hi
Music,Mu
Performing Arts,Pb
Product Design (Polymers),Pd
Psychology,Ps
Photography,Py
Religious Studies,Re
Sports Science,Sb
Triple Science,Sc
Spanish,Sn
Sociology,So
PE,Sp
Product Design (Textiles),Te
